features,skew,skew_new
Rooms,0.37643644704002316,0.37643644704002316
Price,2.239376923756006,0.18064172663589037
Distance,1.6767518487767679,-0.34600935547508194
Postcode,4.075701963913297,3.5116317062856566
Bedroom2,0.7739967055545706,0.7739967055545706
Bathroom,1.377253823522524,1.377253823522524
Car,1.3658663728903333,1.3658663728903333
Landsize,95.22688053319254,-1.646629209351846
BuildingArea,107.1166971159002,-2.9092147928336303
YearBuilt,-2.173755495982657,-3.4354893529125268
Lattitude,-0.42664780159815446,-0.42664780159815446
Longtitude,-0.21096758939777038,-0.21096758939777038
Propertycount,1.069221229412435,1.069221229412435
